,abs_initial_ma_diff_zscore,abs_initial_ma_diff_pct,gap_closed_pct,inst_flow_in_corrective_dir,retail_flow_in_corrective_dir,total_corrective_flow,total_correction_effort_index,inst_correction_effort_index,retail_correction_effort_index
count,958.0,958.0,958.0,958.0,958.0,958.0,958.0,958.0,958.0
mean,3.1026894541775,0.5851414594586327,0.21539155930048715,-102121.67849686848,-13913.330897703549,-116035.00939457203,-2871.8596974008237,-2483.4063556714987,-388.4533417293251
std,1.220421350891686,0.6899142874478688,1.3100903071233105,770858.7922261715,73858.29370400729,830303.2584434464,17484.72522442035,16349.33696738003,1587.3768455837715
min,2.0002077559965885,0.00790513833992092,-34.96428571428585,-8904999.0,-656295.0,-9200553.0,-101002.35515802143,-91139.92344246409,-9862.431715557335
25%,2.308416181982153,0.17355371900826444,0.0,-57420.5,-6780.0,-65616.75,-3306.8446756799694,-2959.2414270480567,-254.70408276984148
50%,2.68011352057575,0.3125,0.35192420738176383,-3965.5,-1443.0,-6579.0,-196.51490883658454,-97.93660507793162,-48.52791538992033
75%,3.456275328162473,0.9624060150375939,0.6679868141482295,11319.75,1347.0,12928.5,334.1513711141044,218.53577091188578,38.92942083572028
max,7.616867247544493,3.6261682242990654,0.7499999999999999,2584343.0,101221.0,2591511.0,141610.46181674616,140177.34281037532,18141.9144407184
non_zero_count,958.0,958.0,864.0,863.0,951.0,958.0,958.0,863.0,951.0
positive_count,958.0,958.0,698.0,333.0,381.0,387.0,387.0,333.0,381.0
negative_count,0.0,0.0,166.0,530.0,570.0,571.0,571.0,530.0,570.0
pct_positive,1.0,1.0,0.7286012526096033,0.3475991649269311,0.3977035490605428,0.40396659707724425,0.40396659707724425,0.3475991649269311,0.3977035490605428
pct_negative,0.0,0.0,0.1732776617954071,0.5532359081419624,0.5949895615866388,0.5960334029227558,0.5960334029227558,0.5532359081419624,0.5949895615866388
